Index,English,Chinese,Frequency,Forms
1,extraction,,5,extraction
2,parser,,5,parser
3,machine learning,,4,machine learning
4,text,,4,text
5,bayes' theorem,,2,Bayes' theorem
6,corpus,,3,corpus
7,embedding,,3,embedding
8,gradient,,3,gradient
9,inference,,3,inference
10,matrix,,3,matrix
11,normalize,,3,normalize;normalized;normalizing
12,parse,,3,parse;parsed;parses
13,retrieval,,3,retrieval
14,token,,3,token
15,tool,,3,tools
16,use,,3,used;uses;using
17,vector,,3,vector
18,adapter,,2,adapter
19,aggregate,,2,aggregate
20,alignment,,2,alignment
21,architecture,,2,architecture
22,domain,,2,domain
23,frequency,,2,frequency
24,mention,,2,mentions
25,name,,2,named;names
26,normalization,,2,normalization
27,pipeline,,2,pipeline
28,repository,,2,repository
29,service,,2,service
30,translation,,2,translation
31,vocabulary,,2,vocabulary
32,file,,1,file
33,generate,,1,generated
